userId,carId,rating
611,1894,4
611,1990,5
611,4781,3
611,2443,2
611,478,4
611,1579,3
611,95,3
611,895,3
611,337,5
611,4602,5
611,3049,3
611,3812,5
611,2461,4
611,3170,3
611,4651,5
611,1767,5
611,4077,3
611,626,4
611,1976,5
611,1204,1
611,2727,1
611,1833,5
611,2547,4
611,934,1
611,2494,2
611,1941,4
611,1197,5
611,3386,2
611,3374,3
611,807,4
611,1992,4
611,3266,3
611,3889,3
611,2653,4
611,59,3
611,3769,5
611,748,3
611,774,3
611,4822,5
611,3769,4
611,3556,5
611,4550,3
611,329,5
611,2916,3
611,1668,1
611,1402,3
611,1176,2
611,1523,3
611,626,3
611,4684,3
611,733,3
611,532,3
611,4566,3
611,298,3
611,2968,3
611,267,5
611,43,4
611,98,3
611,1932,3
611,1987,4
611,747,5
611,405,5
611,3804,3
611,1758,4
611,1604,5
611,4444,2
611,2132,1
611,426,5
611,1388,3
611,943,3
611,2107,3
